url,title,date,content
https://www.inoriminase.com/news/?id=66,【雑誌掲載情報】2017年3月,2017-03-01,2017年3月10日(金)発売 ■「声優グランプリ」4月号 連載“しあわせいのり日和” ■「Newtype」4月号 アニメ「Re：CREATORS」特集内にて セレジア・ユピティリア役・小松未可子さんとの対談 2017年3月18日(土)発売 ■「CUT」4月号 グラビア・インタビュー 2017年3月25日(土)発売 ■「Pick-upVoice」5月号 vol.110 グラビア・インタビュー 2017年3月27日(月)発売 ■「B-PASS」5月号 インタビュー 2017年3月30日(木)発売 ■「メガミマガジン」5月号 インタビュー 2017年3月31日(金)発行 ■フリーペーパー「アニカン」Vol.178 表紙・インタビュー
https://www.inoriminase.com/news/?id=67,【出演情報】『政宗くんのリベンジ』特番～政宗くんの予習復讐～（予習編）,2017-03-19,アニメ「政宗くんのリベンジ」が最終話直前ということで、オリジナル特番＆振り返り一挙放送が決定しました！ 放送日：2017年3月19日(日)、3月26日(日) 放送：AbemaTV オリジナル特番出演者：花江夏樹さん（真壁政宗役）、大橋彩香さん（安達垣愛姫役）、水瀬いのり（小岩井吉乃役） 【内容詳細】 ・『政宗くんのリベンジ』特番～政宗くんの予習復讐～（予習編） 2017年3月19日（日）21時00分～ https://abema.tv/channels/new-anime/slots/8kXv5aNFfPNQZV ・『政宗くんのリベンジ』（前半#1～6） 2017年3月19日（日）21時30分～ https://abema.tv/channels/new-anime/slots/8kXv44nx99RRYT ・『政宗くんのリベンジ』（後半#7～11） 2017年3月26日（日）21時00分〜 https://abema.tv/channels/new-anime/slots/92d5i29C1XBXRh ・『政宗くんのリベンジ』特番～政宗くんの予習復讐～（復讐編） 2017年3月26日（日）23時10分～23時40分 https://abema.tv/channels/new-anime/slots/92d5egC3HFLXuh ・『政宗くんのリベンジ』#12（最終話） 2017年3月26日（日）25時30分 https://abema.tv/channels/new-anime/slots/8TJJNG2V3tEC39 その他詳細... http://masamune-tv.com/news/613 公式HP... http://masamune-tv.com/
https://www.inoriminase.com/news/?id=68,【ニコ生出演情報】アニメ『ソード・オラトリア ダンまち外伝』放送直前ニコ生SP,2017-03-23,■番組名 アニメ『ソード・オラトリア ダンまち外伝』放送直前ニコ生SP ■配信日時 2017年3月26日(日)20:00～ ■出演者 大西沙織さん(アイズ 役)、木村珠莉さん(レフィーヤ 役)、高橋未奈美さん(ティオネ 役)、水瀬いのり(ヘスティア 役) http://live.nicovideo.jp/watch/lv291294375
https://www.inoriminase.com/news/?id=69,【店頭展開情報】「Innocent flower」,2017-03-24,1stアルバム「Innocent flower」の発売を記念して、パネル展等店頭展開が決定しました。 ●発売記念パネル展実施 開催期間：4/4(火)～4/16(日) 開催場所：アニメイト池袋本店・アニメイト大阪日本橋 ●店頭ポスタージャック実施 ・4/4(火)～4/23(日) アニメイト池袋本店 1階フロア ・4/4(火)～4/16(日) アニメイト秋葉原店 6階A館フロア ・4/4(火)～4/16(日) アニメイト横浜店、3階AVフロアレジ前 ・4/4(火)～4/9(日) アニメイト渋谷店 フロア内AVコーナー ●ディスプレイ展開 ・4/3(月)～4/9(日) アニメイト秋葉原店店頭ショーケース ・4/3(月)～4/16(日) AKIHABARAゲーマーズ本店 5Fエレベーター装飾 ・3/28(火)～4/10(月) とらのあな秋葉原店B 1Fエレベーター・エレベーターホール装飾/2F外窓
https://www.inoriminase.com/news/?id=70,​【出演情報】「水瀬と山下のガンガンGAちゃんねる」第36回,2017-03-24,番組名：「水瀬と山下のガンガンGAちゃんねる」第36回 出演者：山下七海さん、水瀬いのり ●視聴はこちらから YouTube ⇒ https://youtu.be/cHIww9FbpSM ニコニコチャンネル ⇒ http://www.nicovideo.jp/watch/1490171038 公式サイト http://www.ganganonline.com/contents/ganganga_ch/
https://www.inoriminase.com/news/?id=71,​【イベント出演情報】Animelo Summer Live 2017 -THE CARD-,2017-03-25,■イベントタイトル 「Animelo Summer Live 2017 -THE CARD-」 ■日時 2017年8月25日(金)、8月26日(土)、8月27日(日) 各日 開場14:00開場／開演16:00 ※水瀬いのりは8月27日(日)公演に出演 ※「キラキラ☆プリキュアアラモード サマーセッション」として8月26日(土)公演に出演 ■会場 さいたまスーパーアリーナ ■チケット料金 全席指定／前売￥8，700(税込・各日) ■チケット最速先行抽選予約 抽選申し込み受付期間： 3月29日(水)12:00～4月10日(月)12:00まで 【申し込み方法】 3月29日(水)発売「Animelo Summer Live 2016 刻-TOKI-」Blu-ray封入特典の案内チラシ、またはアニサマ公式ホームページをご覧ください。 アニサマ公式ホームページ： http://anisama.tv/
https://www.inoriminase.com/news/?id=72,【動画公開】「Innocent flower」試聴,2017-03-26,「Innocent flower」試聴動画はこちら！ ★水瀬いのり YouTube Official Channel
https://www.inoriminase.com/news/?id=73,【TV出演情報】2017年4月,2017-04-01,■TOKYO MX/ MUSIC ON! TV「LisAni!NAVI」 ※コメント出演になります。 放送日時： TOKYO MX : 4/1(土)23:00～23:30 MUSIC ON! TV : 4/3(月)27:00～27:30、4/5(水)27:00～27:30 公式サイト： https://www.lisani.jp/0000047615/ ■TOKYO MX他「Re:CREATORS」特別番組”ENTER THE WORLD OF Re:CREATORS” 放送日時： TOKYO MX・BS11・群馬テレビ・とちぎテレビ：4/1（土）23:30～ ABC 朝日放送：4/1(火)26:58～ テレビ愛知：4/4(火)26:05～ AT-X：4/6(木)24:00～ ※リピート放送：(土)16:00／(水)8:00 公式サイト： http://recreators.tv/ ■TOKYO MX/BS11「上坂すみれのヤバい〇〇」 放送日時：4/8(土)25:00～25:30 公式サイト： http://king-cr.jp/artist/uesakasumire/yabaimarumaru/ ■BSスカパー! 「ANIMAX MUSIX 2017 OSAKA 90分スペシャル」 放送日時：4/8(土)21:00～22:30 ■BSスカパー! 「リスアニ！LIVE 2017 ダイジェスト」 放送日時：4/8(土)22:30～24:30 ■TOKYO MX他「LisAni！NAVI」 ※Tokyo 7th シスターズでの出演になります。 放送日時： TOKYO MX：4/22(土)23:00～23:30 MUSIC ON! TV：4/24(月)27:00～27:30、4/26(水)27:00～27:30 ※リピート放送 公式サイト： https://www.lisani.jp/navi/ ■アニマックス「ANIMAX MUSIX 2017 OSAKA 4時間スペシャル」 放送日時：4/29(土)24:00～28:00
https://www.inoriminase.com/news/?id=74,【広告掲出情報】「Innocent flower」,2017-03-28,●秋葉原駅電気街口駅前街頭にフラッグ掲出 2017年3月30日(木)～4月12日(水)の間、秋葉原駅電気街口駅前街頭に「Innocent flower」のフラッグを掲出いたします。 ●JR東日本他、ホームにベンチシート大型看板掲出 2017年3月31日(金)～4月17日(月)の間、JR東日本他主要31箇所に「Innocent flower」の大型看板を掲出いたします。 ※3/31以降、順次掲出となります。 ※4/15以降、順次撤去となりますのでご了承ください。 ※設置場所は公共の場となっております。周囲の方々や、ご自身の安全を確かめた上でご覧になってください。 ※駅係員へのお問い合わせはご遠慮ください。 ●秋葉原ラジオ会館壁面に大型看板掲出 2017年4月1日(土)～4月14日(金)の間、秋葉原ラジオ会館壁面にＨ8.0ｍ×Ｗ12.5ｍの「Innocent flower」大型看板を掲出いたします。
https://www.inoriminase.com/news/?id=78,【しあわせいのりまち】新ペンライト制作決定！,2017-04-01,本日4月1日に3周年を迎えた、水瀬いのり公式モバイルサイト「しあわせいのりまち」よりお知らせです！ この度、会員限定グッズとして、新ペンライトの制作が決定いたしました！！ 詳細は追って発表いたします。続報をお楽しみに！ 水瀬いのり公式モバイルサイト「しあわせいのりまち」： http://smam.jp/inoriminase/ コンテンツ紹介はこちら： https://inoriminase.com/mobile/
