"ID","Text","Language","Type","Author Name","Author Username","View Count","Reply Count","Retweet Count","Quote Count","Favorite Count","Bookmark Count","Created At","Tweet URL","Source","Hashtags","URLs","Media Type","Media URLs"
"1453013562616541186","||◤ Blu-ray＆DVD 第1巻

　  🎊本日発売🎊  ◢||

🎥収録話数
第１話～第３話

🎁特典
原作者 望月 淳描き下ろし漫画📕
オリジナルドラマCD💿
特製ブックレット📖　などなど…✍

豪華特典満載の本作を
ぜひ手に入れてください✨

#ヴァニタス","ja","Quoted","TVアニメ『ヴァニタスの手記』","vanitas_anime","","2","157","15","1018","14","2021-10-27 00:00:03","https://x.com/vanitas_anime/status/1453013562616541186","<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","#ヴァニタス","","",""
"1453318471303925765","Inori Minase LIVE TOUR 2021 
#HELLOHORIZON

ファイナル・横浜アリーナ公演
配信視聴チケット発売中✨

▷https://t.co/9IOgo3z2Jp

🗓配信日時
11/7(日)18:00〜

🖥アーカイブ
11/14(日)23:59まで

おうちでぜひ一緒に盛り上がりましょう🌅
FC限定特典付きチケットも🏡

#水瀬いのり(スタッフ) https://t.co/wCUwG1Gcav","ja","Tweet","水瀬いのりinfo","inoriminase","","24","859","11","5018","26","2021-10-27 20:11:39","https://x.com/inoriminase/status/1453318471303925765","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#HELLOHORIZON, #水瀬いのり","https://www.inoriminase.com/special/2021/HH/","photo","https://pbs.twimg.com/media/FCs5cfvVEAErWO0.jpg"
"1453237376483012608","☆「町長diary」更新！
タイトル：撒き散らせ！
https://t.co/bzRoHXHPYj
#水瀬いのり　#いのりまち　#町長diary https://t.co/ykTxisgGOx","ja","Tweet","水瀬いのりinfo","inoriminase","","34","393","4","2376","2","2021-10-27 14:49:25","https://x.com/inoriminase/status/1453237376483012608","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#水瀬いのり, #いのりまち, #町長diary","https://inorimachi.com/diary/","photo","https://pbs.twimg.com/media/FCrvjOzXEAgHHox.png"
"1453205775669624837","念願の( ；∀；)
お会いできてとても光栄でした…！","ja","Tweet","水瀬いのりinfo","inoriminase","","65","851","13","6455","17","2021-10-27 12:43:50","https://x.com/inoriminase/status/1453205775669624837","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"1452943695703986183","【朗報】
みんな大事件よ！

ついに孝之ちゃんといのりんとツノミンとアタシのオールメンバーが揃ったわ！！！

超超超貴重な4ショットよ🦄
もはや記念日だわ🍶お祝いよ🍶🍶🍶

アンタたち必ずいいねしなさいよ！！！！！

#奇跡の4ショット https://t.co/7V9267njFM","ja","Quoted","キッチンマヌ〜ル【マヌールのゆうべ公式】","manukomama","","33","730","56","3511","65","2021-10-26 19:22:26","https://x.com/manukomama/status/1452943695703986183","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#奇跡の4ショット","","photo","https://pbs.twimg.com/media/FCnki1qVkAQp45R.jpg
https://pbs.twimg.com/media/FCnki1qUUAMCQIL.jpg"
"1452998753158303749","#ごとぱず 1周年お祝い生放送！ありがとうございました！これからも五月とたくさんの思い出を作りたい！スタッフさんいつもありがとうございます！そして劇場版は来年初夏公開！楽しみにしててね！🍚 https://t.co/AjcGnMIBa4","ja","Tweet","水瀬いのりinfo","inoriminase","","163","2628","74","17838","124","2021-10-26 23:01:12","https://x.com/inoriminase/status/1452998753158303749","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#ごとぱず","","photo","https://pbs.twimg.com/media/FCoWqWKX0BMLWVC.jpg
https://pbs.twimg.com/media/FCoWqWJXEAEzE23.jpg"
"1452894840300060676","本日こちらの放送に出演させていただきます。

みんなで1周年をお祝いしましょう🍚","ja","Tweet","水瀬いのりinfo","inoriminase","","86","1162","42","7751","31","2021-10-26 16:08:18","https://x.com/inoriminase/status/1452894840300060676","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"1451850906203410442","🎥ごとぱず祝1周年全員集合スペシャル放送🎥

10/26(火) 20:00～
放送まであと3⃣日👰💛💜💙

スペシャル放送は、なんとチャペルから💒
お届けしますよ❣

番組はこちら 👇
https://t.co/oXKdXU4A8o

#ごとぱず
#五等分の花嫁 https://t.co/OqmHokxcWB","ja","Quoted","ごとぱず運営❣","5hanayome_pzl","","3","628","75","2475","27","2021-10-23 19:00:04","https://x.com/5hanayome_pzl/status/1451850906203410442","<a href=""https://social.userlocal.jp/"" rel=""nofollow"">Userlocal SocialInsight</a>","#ごとぱず, #五等分の花嫁","https://youtu.be/uwNTsE7dQUA","photo","https://pbs.twimg.com/media/FCYCtAQVcAErDny.jpg"
"1452561070938198019","【水瀬いのり MELODY FLAG】
10/24放送 第264旗 アーカイブ公開🚩

▶️https://t.co/IHcBFRzYXi

聴き逃した方、もう一度聴きたい方はチェック✨

https://t.co/FMujwfAFou
#水瀬いのり #melody_flag (スタッフ) https://t.co/25aJnoocQT","ja","Tweet","水瀬いのりinfo","inoriminase","","25","440","3","2660","5","2021-10-25 18:02:01","https://x.com/inoriminase/status/1452561070938198019","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#水瀬いのり, #melody_flag","https://youtu.be/SLkGonR72DE
http://melody-flag.com","photo","https://pbs.twimg.com/media/FCiIl-2VgAMpCEC.jpg"
"1452266375007907850","放送後旗🚩第264旗

OA曲:あの日の空へ /水瀬いのり
https://t.co/rj3gH8DcXk

コーナー:これからも。お便り送ってください。

来週10/31の放送は番組編成の都合上、開始時間が⏰25:30〜に変更になります。

https://t.co/FMujwfj4wW
#melody_flag(スタッフ) https://t.co/izw65kAejQ","ja","Quoted","水瀬いのりinfo","inoriminase","","111","1247","37","7347","34","2021-10-24 22:31:00","https://x.com/inoriminase/status/1452266375007907850","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#melody_flag","https://lnk.to/1stSG_inoriminase
http://melody-flag.com","photo","https://pbs.twimg.com/media/FCSa6AeVcAAfMTM.jpg"
"1452457549773475842","素敵なプレゼントが当たるキャンペーン
#SOYJOY7 がはじまります！
私も再びSOYJOYSに声を吹き込みました！
 https://t.co/pQtYHJhhfQ
 新キャラ「抹茶先生」にも注目！

#SOYJOY7 #SOYJOYS #SOYJOY

&lt;公式HP&gt;
https://t.co/pQtYHJhhfQ https://t.co/4NtjEnp3m5","ja","Tweet","水瀬いのりinfo","inoriminase","","82","1320","49","6751","39","2021-10-25 11:10:39","https://x.com/inoriminase/status/1452457549773475842","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#SOYJOY7, #SOYJOY7, #SOYJOYS, #SOYJOY","https://bit.ly/3n2w8no
https://bit.ly/3n2w8no","photo","https://pbs.twimg.com/media/FCgqcRvVIAQ6ehH.jpg
https://pbs.twimg.com/media/FCgqcRwVcAQC8fz.jpg"
"1452251024551514114","文化放送【水瀬いのり MELODY FLAG】
この後22:00よりON AIR🚩　
お聴き逃しなく💫

https://t.co/FMujwfj4wW
#水瀬いのり #melody_flag (スタッフ)","ja","Tweet","水瀬いのりinfo","inoriminase","","33","403","9","2601","2","2021-10-24 21:30:00","https://x.com/inoriminase/status/1452251024551514114","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#水瀬いのり, #melody_flag","http://melody-flag.com","",""
"1450705543228583937","☆「いのりまち町民集会2021-おかわり-」
会場開催チケット当落結果のご案内を開始しました！
FCページ「チケット」&amp;「まちの回覧板」を必ずご確認ください！！！
https://t.co/DZaNYSbZ9C
(スタッフ)
#水瀬いのり #いのりまち #いのりまち町民集会2021おかわり https://t.co/rEfBh1CTEG","ja","Tweet","水瀬いのりinfo","inoriminase","","61","707","32","4368","7","2021-10-20 15:08:48","https://x.com/inoriminase/status/1450705543228583937","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#水瀬いのり, #いのりまち, #いのりまち町民集会2021おかわり","https://inorimachi.com/news/2021/1020150000.html","photo","https://pbs.twimg.com/media/FCHw8qRVIAE1W7M.png"
"1450090213296926723","Inori Minase LIVE TOUR 2021
HELLO HORIZON

グッズ2次受付は
本日【10/18(月)23:59】まで🛍
お見逃しなく💨

🛒 https://t.co/TBCblL2zbk

#水瀬いのり #HELLOHORIZON
(スタッフ)","ja","Tweet","水瀬いのりinfo","inoriminase","","15","433","11","2965","4","2021-10-18 22:23:42","https://x.com/inoriminase/status/1450090213296926723","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#水瀬いのり, #HELLOHORIZON","https://monostand.jp/inoriminase_hellohorizon","",""
